filename,Z,P,C,mcintosh_full,pred_Z,pred_P,pred_C,pred_mcintosh_full,date_iso,lat,lon,carrington_lo,extension_ll,area,mag_class,num_spots_srs,noaa,orig_w,orig_h,square_size,yolo_conf,dist_angular,z_length_deg,z_length_mode,mean_dist_angular,num_spots_det,num_bbox_spots,num_umbra,num_penumbra,area_bbox,area_umbra,area_penumbra,area_total,valid_area,bbox_fraction_valid,umbra_fraction_valid,pen_fraction_valid,fill_ratio,elongation,pen_diam_ns_deg,pen_symmetry,pen_irregularity,pred_z_tree,pred_p_tree,pred_c_tree,length_deg_attr,num_spots_bbox_attr,num_umbra_attr,pen_diam_ns_deg_attr,pen_symmetry_attr,fill_ratio_attr
hmi_20100329_0000_1059_0.png,H,a,x,Hax,A,x,x,Axx,2010-03-29T00:00:00,-22.0,-61.0,265.0,2.0,100.0,Alpha,1.0,1059,49,55,224,0.8765270113945007,54.73782730102539,0.8293411689402556,bbox_span,54.73782730102539,1,1,1,0,19,32,0,19,40683,0.00046702553892289165,0.0007865693287122385,0.0,0.6333333333333333,0.8333333333333334,0.0,0.0,0.0,A,x,x,0.8293411689402556,1,1,0.0,0.0,0.6333333333333333
hmi_20100329_0000_1057_1.png,E,k,i,Eki,B,x,o,Bxo,2010-03-29T00:00:00,15.0,-4.0,322.0,11.0,410.0,Beta,12.0,1057,114,61,224,0.8124130368232727,24.477540969848633,7.130400096132702,bbox_span,24.477540969848633,2,2,1,0,72,80,0,72,50176,0.0014349489795918368,0.0015943877551020409,0.0,0.08,4.0,0.0,0.0,0.0,B,x,o,7.130400096132702,2,1,0.0,0.0,0.08
hmi_20100407_0000_1061_0.png,D,s,o,Dso,A,x,x,Axx,2010-04-07T00:00:00,14.0,24.0,232.0,6.0,110.0,Beta,6.0,1061,85,57,224,0.8060141801834106,45.542388916015625,0.49390754217192984,bbox_span,45.542388916015625,1,1,1,0,12,29,0,12,49932,0.0002403268445085316,0.0005807898742289513,0.0,0.75,1.0,0.0,0.0,0.0,A,x,x,0.49390754217192984,1,1,0.0,0.0,0.75
hmi_20100408_0000_1061_0.png,D,s,o,Dso,A,x,x,Axx,2010-04-08T00:00:00,13.0,39.0,234.0,7.0,70.0,Beta,4.0,1061,83,58,224,0.8458696007728577,46.98561096191406,0.508659993859389,bbox_span,46.98561096191406,1,1,1,0,12,28,0,12,49558,0.0002421405222163929,0.0005649945518382501,0.0,0.75,1.0,0.0,0.0,0.0,A,x,x,0.508659993859389,1,1,0.0,0.0,0.75
hmi_20100503_0000_1066_0.png,A,x,x,Axx,A,x,x,Axx,2010-05-03T00:00:00,-27.0,-16.0,209.0,1.0,0.0,Alpha,1.0,1066,44,44,224,0.7597411870956421,28.115047454833984,0.4086518554419533,bbox_span,28.115047454833984,1,1,1,0,8,12,0,8,50176,0.00015943877551020407,0.00023915816326530612,0.0,0.5,1.0,0.0,0.0,0.0,A,x,x,0.4086518554419533,1,1,0.0,0.0,0.5
hmi_20100503_0000_1067_1.png,B,x,o,Bxo,H,x,x,Hxx,2010-05-03T00:00:00,23.0,-55.0,170.0,5.0,20.0,Beta,4.0,1067,57,45,224,0.744143545627594,54.1936149597168,0.911492468369768,bbox_span,54.1936149597168,0,0,1,1,0,10,20,20,42896,0.0,0.0002331219694143976,0.0004662439388287952,0.5555555555555556,1.0,0.0,0.0,0.0,H,x,x,0.911492468369768,0,1,0.0,0.0,0.5555555555555556
hmi_20100505_0000_1069_0.png,D,a,i,Dai,H,x,x,Hxx,2010-05-05T00:00:00,42.0,27.0,225.0,7.0,50.0,Beta-Gamma,9.0,1069,69,50,224,0.7986920475959778,53.12208938598633,0.706737576970792,bbox_span,53.12208938598633,0,0,2,1,0,24,10,10,44275,0.0,0.0005420666290231507,0.00022586109542631282,0.5555555555555556,2.0,0.0,0.0,0.0,H,x,x,0.706737576970792,0,2,0.0,0.0,0.5555555555555556
hmi_20100506_0000_1069_0.png,D,a,i,Dai,H,x,x,Hxx,2010-05-06T00:00:00,41.0,40.0,224.0,9.0,170.0,Beta-Gamma,7.0,1069,95,53,224,0.7257066965103149,55.988407135009766,0.30866313846292387,bbox_span,55.988407135009766,0,0,2,1,0,45,10,10,39857,0.0,0.001129036304789623,0.0002508969566199162,0.6666666666666666,0.6,0.0,0.0,0.0,H,x,x,0.30866313846292387,0,2,0.0,0.0,0.6666666666666666
hmi_20100522_0000_1072_0.png,B,x,o,Bxo,H,x,x,Hxx,2010-05-22T00:00:00,-16.0,-14.0,319.0,4.0,30.0,Beta,5.0,1072,79,55,224,0.8280645608901978,22.435935974121094,1.138805790558698,bbox_span,22.435935974121094,1,1,1,0,33,64,7,40,50176,0.0006576849489795918,0.0012755102040816326,0.00013950892857142856,0.4,1.0,0.0,0.0,0.0,H,x,x,1.138805790558698,1,1,0.0,0.0,0.4
hmi_20100523_0000_1072_0.png,C,a,o,Cao,H,x,x,Hxx,2010-05-23T00:00:00,-16.0,-8.0,312.0,6.0,100.0,Beta,10.0,1072,86,60,224,0.8416796922683716,16.447097778320312,0.9859094094777211,bbox_span,16.447097778320312,1,1,1,0,39,75,4,43,50176,0.0007772640306122449,0.0014947385204081632,7.971938775510203e-05,0.48863636363636365,0.7272727272727273,0.0,0.0,0.0,H,x,x,0.9859094094777211,1,1,0.0,0.0,0.48863636363636365
hmi_20100524_0000_1072_0.png,D,s,i,Dsi,H,x,x,Hxx,2010-05-24T00:00:00,-15.0,9.0,315.0,6.0,130.0,Beta,13.0,1072,89,56,224,0.8362718820571899,19.838144302368164,1.3847804882645902,bbox_span,19.838144302368164,1,1,1,0,37,57,8,45,50176,0.0007374043367346938,0.001136001275510204,0.00015943877551020407,0.28846153846153844,0.9230769230769231,0.0,0.0,0.0,H,x,x,1.3847804882645902,1,1,0.0,0.0,0.28846153846153844
hmi_20100525_0000_1072_0.png,C,s,o,Cso,H,x,x,Hxx,2010-05-25T00:00:00,-15.0,22.0,315.0,6.0,90.0,Beta,7.0,1072,53,51,224,0.83583664894104,32.17171096801758,1.204428170745583,bbox_span,32.17171096801758,1,1,1,1,26,43,14,40,50176,0.0005181760204081633,0.0008569834183673469,0.00027901785714285713,0.3418803418803419,0.6923076923076923,0.0,0.0,0.0,H,x,x,1.204428170745583,1,1,0.0,0.0,0.3418803418803419
hmi_20100526_0000_1072_0.png,C,s,o,Cso,H,x,x,Hxx,2010-05-26T00:00:00,-15.0,36.0,316.0,5.0,60.0,Beta,6.0,1072,50,52,224,0.890424370765686,45.269081115722656,1.0438650318220177,bbox_span,45.269081115722656,1,1,1,1,21,32,10,31,50052,0.000419563653800048,0.000639335091504835,0.00019979221609526092,0.44285714285714284,0.7,0.0,0.0,0.0,H,x,x,1.0438650318220177,1,1,0.0,0.0,0.44285714285714284
hmi_20100527_0000_1072_0.png,H,s,x,Hsx,H,x,x,Hxx,2010-05-27T00:00:00,-23.0,52.0,319.0,2.0,50.0,Alpha,1.0,1072,46,51,224,0.8912844657897949,54.17732238769531,1.3306447815360607,bbox_span,54.17732238769531,1,1,1,1,13,22,8,21,40573,0.0003204101249599487,0.0005422325191629902,0.00019717546151381461,0.3888888888888889,0.6666666666666666,0.0,0.0,0.0,H,x,x,1.3306447815360607,1,1,0.0,0.0,0.3888888888888889
hmi_20100528_0000_1072_0.png,H,s,x,Hsx,A,x,x,Axx,2010-05-28T00:00:00,-15.0,65.0,318.0,2.0,40.0,Alpha,1.0,1072,44,48,224,0.714771568775177,58.72750473022461,0.6405123373387807,bbox_span,58.72750473022461,1,1,1,0,11,8,0,11,29088,0.00037816281628162815,0.000275027502750275,0.0,0.7333333333333333,0.6,0.0,0.0,0.0,A,x,x,0.6405123373387807,1,1,0.0,0.0,0.7333333333333333
hmi_20100602_0000_1076_0.png,B,x,o,Bxo,H,x,x,Hxx,2010-06-02T00:00:00,-20.0,6.0,193.0,5.0,20.0,Beta,4.0,1076,81,49,224,0.764484167098999,23.602602005004883,1.2091930735177079,bbox_span,23.602602005004883,1,1,2,0,13,24,7,20,50176,0.00025908801020408165,0.00047831632653061223,0.00013950892857142856,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,H,x,x,1.2091930735177079,1,2,0.0,0.0,0.3333333333333333
hmi_20100603_0000_1076_0.png,D,a,i,Dai,H,x,x,Hxx,2010-06-03T00:00:00,-19.0,22.0,196.0,6.0,40.0,Beta,8.0,1076,87,61,224,0.8563152551651001,32.5281867980957,3.599265198867262,bbox_span,32.5281867980957,1,1,2,1,36,70,21,57,50176,0.0007174744897959184,0.0013950892857142857,0.0004185267857142857,0.18506493506493507,2.5454545454545454,0.0,0.0,0.0,H,x,x,3.599265198867262,1,2,0.0,0.0,0.18506493506493507
hmi_20100604_0000_1076_0.png,D,h,o,Dho,H,x,x,Hxx,2010-06-04T00:00:00,-27.0,28.0,189.0,8.0,190.0,Beta,7.0,1076,87,57,224,0.8850046992301941,43.75055694580078,1.444946677252716,bbox_span,43.75055694580078,1,1,1,0,29,64,4,33,50138,0.0005784036060473095,0.001276476923690614,7.977980773066337e-05,0.3,0.9090909090909091,0.0,0.0,0.0,H,x,x,1.444946677252716,1,1,0.0,0.0,0.3
hmi_20100605_0000_1076_0.png,D,s,o,Dso,H,r,x,Hrx,2010-06-05T00:00:00,-19.0,49.0,197.0,8.0,70.0,Beta,8.0,1076,72,54,224,0.8392534255981445,53.0682487487793,4.710586888333781,bbox_span,53.0682487487793,0,0,1,1,0,40,27,27,43914,0.0,0.0009108712483490458,0.0006148380926356059,0.125,2.6666666666666665,0.5637263975684049,0.45454545454545453,0.6746348863671471,H,r,x,4.710586888333781,0,1,0.5637263975684049,0.45454545454545453,0.125
