filename,Z,P,C,mcintosh_full,pred_Z,pred_P,pred_C,pred_mcintosh_full,date_iso,lat,lon,carrington_lo,extension_ll,area,mag_class,num_spots_srs,noaa,orig_w,orig_h,square_size,yolo_conf,dist_angular,z_length_deg,z_length_mode,mean_dist_angular,num_spots_det,num_bbox_spots,num_umbra,num_penumbra,area_bbox,area_umbra,area_penumbra,area_total,valid_area,bbox_fraction_valid,umbra_fraction_valid,pen_fraction_valid,fill_ratio,elongation,pen_diam_ns_deg,pen_symmetry,pen_irregularity,pred_z_tree,pred_p_tree,pred_c_tree,length_deg_attr,num_spots_bbox_attr,num_umbra_attr,pen_diam_ns_deg_attr,pen_symmetry_attr,fill_ratio_attr,mc_Z,mc_P,mc_C,outlier
hmi_20100329_0000_1059_0.png,H,a,x,Hax,A,x,x,Axx,2010-03-29T00:00:00,-22.0,-61.0,265.0,2.0,100.0,Alpha,1.0,1059,49,55,224,0.8765270113945007,54.73782730102539,0.8293411689402556,bbox_span,54.73782730102539,1,1,1,0,19,32,0,19,40683,0.0004670255389228,0.0007865693287122,0.0,0.6333333333333333,0.8333333333333334,0.0,0.0,0.0,A,x,x,0.8293411689402556,1,1,0.0,0.0,0.6333333333333333,H,a,x,1
hmi_20100329_0000_1057_1.png,E,k,i,Eki,B,x,o,Bxo,2010-03-29T00:00:00,15.0,-4.0,322.0,11.0,410.0,Beta,12.0,1057,114,61,224,0.8124130368232727,24.477540969848636,7.130400096132702,bbox_span,24.477540969848636,2,2,1,0,72,80,0,72,50176,0.0014349489795918,0.001594387755102,0.0,0.08,4.0,0.0,0.0,0.0,B,x,o,7.130400096132702,2,1,0.0,0.0,0.08,E,k,i,1
hmi_20100407_0000_1061_0.png,D,s,o,Dso,A,x,x,Axx,2010-04-07T00:00:00,14.0,24.0,232.0,6.0,110.0,Beta,6.0,1061,85,57,224,0.8060141801834106,45.542388916015625,0.4939075421719298,bbox_span,45.542388916015625,1,1,1,0,12,29,0,12,49932,0.0002403268445085,0.0005807898742289,0.0,0.75,1.0,0.0,0.0,0.0,A,x,x,0.4939075421719298,1,1,0.0,0.0,0.75,D,s,o,1
hmi_20100408_0000_1061_0.png,D,s,o,Dso,A,x,x,Axx,2010-04-08T00:00:00,13.0,39.0,234.0,7.0,70.0,Beta,4.0,1061,83,58,224,0.8458696007728577,46.98561096191406,0.508659993859389,bbox_span,46.98561096191406,1,1,1,0,12,28,0,12,49558,0.0002421405222163,0.0005649945518382,0.0,0.75,1.0,0.0,0.0,0.0,A,x,x,0.508659993859389,1,1,0.0,0.0,0.75,D,s,o,1
hmi_20100503_0000_1066_0.png,A,x,x,Axx,A,x,x,Axx,2010-05-03T00:00:00,-27.0,-16.0,209.0,1.0,0.0,Alpha,1.0,1066,44,44,224,0.7597411870956421,28.115047454833984,0.4086518554419533,bbox_span,28.115047454833984,1,1,1,0,8,12,0,8,50176,0.0001594387755102,0.0002391581632653,0.0,0.5,1.0,0.0,0.0,0.0,A,x,x,0.4086518554419533,1,1,0.0,0.0,0.5,A,x,x,1
hmi_20100503_0000_1067_1.png,B,x,o,Bxo,H,x,x,Hxx,2010-05-03T00:00:00,23.0,-55.0,170.0,5.0,20.0,Beta,4.0,1067,57,45,224,0.744143545627594,54.1936149597168,0.911492468369768,bbox_span,54.1936149597168,0,0,1,1,0,10,20,20,42896,0.0,0.0002331219694143,0.0004662439388287,0.5555555555555556,1.0,0.0,0.0,0.0,H,x,x,0.911492468369768,0,1,0.0,0.0,0.5555555555555556,B,x,o,1
hmi_20100505_0000_1069_0.png,D,a,i,Dai,H,x,x,Hxx,2010-05-05T00:00:00,42.0,27.0,225.0,7.0,50.0,Beta-Gamma,9.0,1069,69,50,224,0.7986920475959778,53.12208938598633,0.706737576970792,bbox_span,53.12208938598633,0,0,2,1,0,24,10,10,44275,0.0,0.0005420666290231,0.0002258610954263,0.5555555555555556,2.0,0.0,0.0,0.0,H,x,x,0.706737576970792,0,2,0.0,0.0,0.5555555555555556,D,a,i,1
hmi_20100506_0000_1069_0.png,D,a,i,Dai,H,x,x,Hxx,2010-05-06T00:00:00,41.0,40.0,224.0,9.0,170.0,Beta-Gamma,7.0,1069,95,53,224,0.7257066965103149,55.988407135009766,0.3086631384629238,bbox_span,55.988407135009766,0,0,2,1,0,45,10,10,39857,0.0,0.0011290363047896,0.0002508969566199,0.6666666666666666,0.6,0.0,0.0,0.0,H,x,x,0.3086631384629238,0,2,0.0,0.0,0.6666666666666666,D,a,i,1
hmi_20100522_0000_1072_0.png,B,x,o,Bxo,H,x,x,Hxx,2010-05-22T00:00:00,-16.0,-14.0,319.0,4.0,30.0,Beta,5.0,1072,79,55,224,0.8280645608901978,22.435935974121094,1.138805790558698,bbox_span,22.435935974121094,1,1,1,0,33,64,7,40,50176,0.0006576849489795,0.0012755102040816,0.0001395089285714,0.4,1.0,0.0,0.0,0.0,H,x,x,1.138805790558698,1,1,0.0,0.0,0.4,B,x,o,1
hmi_20100523_0000_1072_0.png,C,a,o,Cao,H,x,x,Hxx,2010-05-23T00:00:00,-16.0,-8.0,312.0,6.0,100.0,Beta,10.0,1072,86,60,224,0.8416796922683716,16.447097778320312,0.9859094094777212,bbox_span,16.447097778320312,1,1,1,0,39,75,4,43,50176,0.0007772640306122,0.0014947385204081,7.971938775510203e-05,0.4886363636363636,0.7272727272727273,0.0,0.0,0.0,H,x,x,0.9859094094777212,1,1,0.0,0.0,0.4886363636363636,C,a,o,1
